date,quantity,pizza_type_id,size,ingredients
2016-07-10,1,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
1467496800.0,one,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
"Sunday,24 July, 2016",1,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
"Sunday,04 September, 2016",1,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
Thu 12-May-2016,1,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
Tue 14-Jun-2016,1,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
2016-05-26,1,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
"Monday,05 December, 2016",One,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
1453071600.0,1,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
01-05-16 18:00:53,One,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
04-01-16 11:45:10,1,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
2016-01-29,1,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
Tue 29-Mar-2016,1,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
Aug 23 2016,1,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
1458342000.0,1,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
Sat 16-Jan-2016,1,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
"Saturday,17 September, 2016",-1,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
Jul 30 2016,One,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
Sat 11-Jun-2016,1,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
Mon 11-Jan-2016,1,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
07-05-16 17:10:12,1,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
24-12-16 20:58:44,1,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
2016-07-24,one,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
2016-06-27,1,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
2016-06-24,1,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
"Thursday,12 May, 2016",1,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
Sat 02-Jul-2016,1,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
12-01-16 18:21:04,1,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
"Friday,22 April, 2016",1,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
Fri 23-Dec-2016,1,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
"Tuesday,07 June, 2016",1,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
04-05-16 12:07:44,1,pepperoni,0.5,"Mozzarella Cheese, Pepperoni"
